aX,aY,aZ,gX,gY,gZ
0.762,-0.010,-0.344,-73.853,-155.090,-58.289
0.822,-0.121,-0.134,-72.510,-149.109,-52.429
0.855,-0.178,-0.100,-55.542,-131.836,-48.157
0.856,-0.156,-0.202,-38.818,-115.601,-42.969
0.812,-0.120,-0.288,-30.518,-106.873,-40.833
0.756,-0.099,-0.337,-25.391,-103.943,-43.213
0.711,-0.073,-0.358,-20.569,-104.980,-46.997
0.668,-0.011,-0.375,-19.287,-108.337,-49.072
0.631,0.039,-0.418,-27.283,-110.291,-46.814
0.585,0.061,-0.417,-47.058,-111.511,-39.063
0.627,0.087,-0.353,-81.970,-116.333,-30.579
0.689,0.175,-0.275,-111.694,-127.014,-20.325
0.776,0.046,-0.178,-124.878,-133.911,-26.794
0.806,-0.226,0.066,-129.211,-132.385,-37.476
0.854,-0.387,0.241,-114.868,-116.333,-43.457
0.931,-0.443,0.263,-86.121,-97.473,-46.936
0.952,-0.434,0.168,-50.232,-87.341,-55.237
0.946,-0.415,0.063,-16.968,-85.938,-72.815
0.944,-0.364,0.042,6.348,-89.722,-93.445
0.951,-0.228,0.081,21.057,-94.238,-112.854
0.919,-0.195,0.026,20.142,-93.567,-127.991
0.827,-0.260,-0.104,-1.892,-84.961,-126.587
0.753,-0.298,-0.162,-42.053,-75.134,-105.530
0.759,-0.309,-0.140,-89.783,-70.557,-73.914
0.783,-0.323,-0.080,-130.310,-70.435,-43.579
0.847,-0.367,0.015,-154.968,-72.205,-23.987
0.877,-0.489,0.169,-156.860,-76.843,-21.667
0.912,-0.640,0.328,-132.263,-80.322,-36.133
0.912,-0.708,0.415,-91.675,-78.857,-56.824
0.888,-0.694,0.339,-43.884,-73.181,-74.524
0.813,-0.600,0.172,-4.272,-68.298,-86.182
0.747,-0.523,0.051,12.512,-67.200,-91.553
0.723,-0.443,0.027,7.996,-67.383,-86.548
0.709,-0.383,0.024,-8.911,-64.697,-70.862
0.715,-0.376,0.029,-32.532,-59.631,-53.650
0.746,-0.369,0.063,-54.504,-57.007,-42.908
0.781,-0.390,0.107,-70.679,-60.608,-42.542
0.828,-0.451,0.151,-80.627,-68.542,-49.744
0.857,-0.595,0.223,-84.595,-75.378,-59.265
0.844,-0.725,0.327,-80.933,-77.881,-63.782
0.862,-0.839,0.393,-67.078,-76.599,-59.143
0.882,-0.838,0.399,-49.072,-68.787,-45.776
0.862,-0.756,0.361,-34.058,-58.105,-30.212
0.828,-0.643,0.270,-22.583,-48.767,-16.663
0.804,-0.549,0.187,-17.334,-41.504,-6.958
0.810,-0.455,0.163,-16.479,-38.940,-3.479
0.792,-0.394,0.167,-18.005,-41.443,-9.827
0.780,-0.412,0.167,-20.508,-44.373,-23.254
0.786,-0.464,0.167,-24.414,-45.959,-35.278
0.796,-0.498,0.177,-30.090,-48.218,-42.053
0.799,-0.534,0.214,-35.461,-52.063,-44.434
0.797,-0.608,0.238,-36.865,-55.603,-43.945
0.815,-0.710,0.327,-34.180,-55.542,-39.978
0.855,-0.785,0.401,-31.067,-50.781,-29.724
0.879,-0.760,0.450,-28.137,-38.574,-13.977
0.897,-0.691,0.417,-23.254,-26.001,-1.709
0.895,-0.620,0.363,-16.724,-18.799,3.601
0.894,-0.586,0.326,-12.695,-16.663,2.075
0.888,-0.581,0.313,-10.620,-15.869,-3.296
0.894,-0.594,0.292,-7.751,-14.832,-9.949
0.882,-0.600,0.301,-7.751,-14.343,-17.273
0.855,-0.585,0.274,-7.080,-14.465,-19.958

0.943,-1.006,1.024,11.841,27.649,-0.488
1.015,-1.078,1.151,16.663,41.626,3.784
1.061,-1.172,1.289,20.020,56.946,4.944
1.085,-1.301,1.398,25.085,72.510,4.700
1.073,-1.427,1.506,35.217,85.754,6.897
1.040,-1.571,1.625,47.729,96.619,11.353
0.975,-1.691,1.774,58.167,105.042,18.494
0.916,-1.761,1.942,64.148,113.037,32.410
0.865,-1.792,2.027,70.862,121.704,56.396
0.829,-1.687,2.052,82.703,136.230,89.600
0.776,-1.545,2.030,93.140,158.020,121.338
0.645,-1.421,2.114,101.318,181.458,143.433
0.588,-1.354,2.239,118.774,199.463,160.461
0.624,-1.322,2.329,147.461,215.637,177.307
0.653,-1.327,2.464,178.406,240.723,194.397
0.560,-1.418,2.599,210.083,282.532,217.773
0.533,-1.449,2.480,246.338,333.252,253.967
0.452,-1.292,2.486,264.404,380.676,298.767
0.123,-1.168,2.435,262.817,423.523,341.187
-0.343,-0.900,2.375,252.686,459.900,382.141
-0.834,-0.574,1.938,240.967,488.953,428.467
-1.365,-0.217,1.057,225.037,515.747,473.816
-1.832,0.192,0.184,199.585,544.556,490.723
-2.380,0.678,-0.716,187.378,572.449,457.092
-3.286,1.076,-1.740,178.650,588.562,368.896
-4.000,1.610,-2.292,179.932,584.229,218.445
-4.000,2.760,-2.511,246.155,542.297,12.085
-4.000,4.000,-3.793,365.051,452.576,-177.246
-4.000,4.000,-4.000,394.287,261.536,-262.634
-4.000,4.000,-4.000,187.317,-2.197,-241.943
-3.915,3.641,-1.905,-141.235,-217.407,-115.845
-1.456,2.219,0.220,-345.947,-357.483,46.936
0.927,1.582,1.086,-358.826,-421.448,144.775
3.006,0.964,1.392,-285.828,-395.142,154.358
4.000,0.241,1.512,-204.529,-307.556,99.426
4.000,-0.535,1.490,-130.676,-201.599,10.681
4.000,-1.125,1.089,-56.946,-92.773,-73.975
3.886,-1.415,0.310,9.949,8.911,-127.197
2.742,-1.449,-0.554,50.415,82.153,-139.587
1.653,-1.217,-1.089,60.730,113.586,-122.681
0.679,-0.793,-1.363,57.251,115.295,-100.647
-0.178,-0.371,-1.651,53.162,105.774,-84.229
-0.782,-0.024,-1.942,37.781,89.355,-61.401
-1.105,0.285,-2.049,5.432,56.824,-26.672
-1.228,0.581,-2.010,-31.555,14.771,6.226
-1.204,0.786,-1.760,-55.359,-25.085,24.780
-1.012,0.921,-1.587,-71.960,-68.237,33.020
-0.781,0.994,-1.484,-76.965,-97.473,29.785
-0.572,0.956,-1.374,-76.538,-118.225,12.573
-0.359,0.866,-1.280,-70.435,-133.118,-11.963
-0.146,0.717,-1.203,-58.472,-144.348,-38.818
0.038,0.521,-1.128,-47.607,-155.640,-63.171
0.165,0.336,-1.035,-40.649,-168.274,-83.130
0.263,0.191,-0.969,-38.513,-177.979,-92.957
0.378,0.143,-0.891,-44.617,-188.599,-89.600
0.458,0.165,-0.771,-57.190,-202.026,-78.674
0.518,0.182,-0.659,-67.932,-212.891,-68.665
0.563,0.194,-0.533,-76.111,-217.957,-60.974
0.588,0.184,-0.339,-80.811,-215.698,-55.603
0.626,0.050,-0.177,-78.674,-200.562,-50.049
0.659,-0.023,-0.143,-75.439,-175.232,-39.978
0.663,-0.055,-0.189,-73.914,-149.109,-29.419
0.632,-0.040,-0.222,-74.951,-133.972,-21.484
0.641,0.003,-0.215,-73.669,-132.263,-19.958
0.686,0.008,-0.161,-66.772,-138.794,-30.457
0.736,-0.060,-0.020,-59.570,-147.827,-53.528
0.775,-0.166,0.139,-53.284,-155.090,-79.407
0.794,-0.212,0.228,-43.823,-157.471,-96.985
0.770,-0.216,0.209,-36.377,-154.297,-104.431
0.713,-0.205,0.132,-37.903,-145.691,-103.210
0.679,-0.173,0.091,-49.072,-134.521,-92.773
0.659,-0.144,0.104,-62.256,-126.587,-81.360
0.702,-0.164,0.159,-70.801,-125.061,-77.881
0.740,-0.200,0.254,-68.726,-126.282,-83.008
0.774,-0.252,0.387,-58.960,-126.404,-97.351
0.785,-0.333,0.470,-47.485,-123.962,-118.042
0.771,-0.396,0.448,-36.560,-117.554,-133.606
0.755,-0.435,0.391,-29.968,-109.680,-137.207
0.707,-0.496,0.377,-30.823,-102.661,-137.146
0.698,-0.620,0.364,-35.278,-95.276,-133.789
0.719,-0.679,0.358,-40.222,-87.524,-121.948
0.724,-0.691,0.381,-46.326,-82.520,-107.910
0.723,-0.694,0.436,-52.673,-81.055,-101.990
0.762,-0.705,0.483,-55.176,-81.482,-100.891
0.770,-0.689,0.544,-55.298,-80.811,-97.961
0.856,-0.723,0.502,-49.011,-73.364,-99.792
0.815,-0.785,0.504,-45.715,-66.650,-115.295
0.758,-0.777,0.447,-36.133,-59.021,-111.023
0.787,-0.894,0.409,-31.189,-54.077,-107.361
0.800,-1.037,0.431,-32.593,-47.852,-98.267
0.776,-1.112,0.445,-36.682,-37.537,-77.026
0.775,-1.108,0.441,-39.124,-29.297,-48.706
0.794,-1.058,0.418,-37.720,-26.672,-22.156
0.840,-0.947,0.351,-34.363,-26.001,-2.869
