aX,aY,aZ,gX,gY,gZ
-4.000,4.000,4.000,142.456,-468.689,299.927
-2.516,4.000,4.000,117.310,-586.304,77.881
0.721,4.000,4.000,-63.110,-624.695,77.209
3.937,3.094,4.000,-198.120,-489.746,194.946
4.000,0.578,4.000,-124.268,-291.687,180.115
4.000,0.027,4.000,8.057,-91.736,9.460
3.178,0.310,3.939,110.413,76.050,-131.592
1.834,1.161,2.364,130.676,202.820,-105.286
0.972,1.839,1.306,64.148,307.556,-5.371
-0.174,1.516,0.554,-32.166,367.798,21.729
-1.355,0.855,-0.254,-89.722,359.924,-17.151
-2.105,0.378,-0.965,-83.984,310.242,-48.462
-2.028,0.266,-1.360,-65.796,237.915,-35.583
-1.502,0.342,-1.349,-59.448,167.053,-5.554
-0.926,0.385,-1.193,-54.199,109.558,14.709
-0.497,0.370,-0.936,-41.626,57.739,18.494
-0.163,0.342,-0.731,-22.034,11.292,11.719
0.178,0.379,-0.560,4.028,-23.987,-0.610
0.418,0.531,-0.326,22.644,-42.847,-16.174
0.490,0.636,-0.118,32.715,-39.856,-31.067
0.535,0.740,0.100,29.114,-31.250,-38.391
0.591,0.875,0.336,15.625,-26.306,-38.879
0.644,0.989,0.533,5.127,-22.705,-41.138
0.700,1.041,0.673,3.174,-22.034,-51.636
0.724,1.033,0.772,9.155,-27.527,-69.885
0.689,1.027,0.886,18.494,-39.001,-91.492
0.644,0.939,0.916,30.701,-49.438,-113.647
0.619,0.718,0.823,46.387,-52.673,-130.005
0.627,0.450,0.669,58.289,-43.640,-135.010
0.622,0.206,0.531,61.157,-21.667,-128.479
0.616,0.038,0.398,59.753,9.277,-110.962
0.621,-0.035,0.261,57.983,42.664,-88.379
0.634,-0.028,0.107,58.594,71.106,-68.054
0.667,-0.025,-0.091,61.523,88.989,-53.284
0.696,-0.033,-0.292,66.040,99.182,-43.945
0.745,0.001,-0.424,64.270,99.854,-38.940
0.808,0.055,-0.474,55.298,93.689,-35.828
0.870,0.044,-0.490,47.058,84.900,-37.476
0.904,0.015,-0.493,41.748,75.928,-41.504
0.890,-0.044,-0.504,41.260,67.383,-46.021
0.868,-0.073,-0.504,44.495,59.998,-49.683
0.854,-0.132,-0.554,53.833,53.772,-49.377
0.896,-0.113,-0.492,63.599,44.067,-40.771
0.929,-0.022,-0.559,65.735,45.044,-27.344
0.995,0.047,-0.538,69.336,45.959,-13.855
1.034,0.132,-0.503,71.289,44.556,-6.592
1.068,0.211,-0.459,68.420,44.373,-5.249
1.075,0.248,-0.435,63.843,43.823,-8.789
1.091,0.229,-0.479,60.242,43.640,-16.785
1.085,0.179,-0.532,53.833,43.030,-26.489
1.049,0.178,-0.521,43.579,38.940,-34.180
1.037,0.147,-0.505,33.752,31.250,-38.879
1.027,0.083,-0.496,27.039,21.851,-41.504
1.003,0.072,-0.412,21.973,10.620,-42.175
1.002,0.095,-0.324,18.921,-0.305,-38.635
1.032,0.091,-0.287,20.691,-6.531,-33.752
1.032,0.119,-0.264,24.719,-6.531,-29.602
1.028,0.168,-0.254,26.855,-4.883,-26.062
1.041,0.177,-0.268,27.100,-1.465,-25.696
1.039,0.161,-0.290,24.841,2.625,-27.344
1.020,0.144,-0.276,20.569,4.272,-28.442
1.010,0.137,-0.230,15.442,3.967,-29.236
0.986,0.118,-0.186,10.620,5.493,-27.954
0.968,0.113,-0.158,6.287,7.935,-24.597
0.949,0.125,-0.138,2.869,10.925,-20.081
0.953,0.103,-0.175,1.404,13.611,-15.381
0.966,0.084,-0.199,1.953,15.991,-10.315
0.982,0.083,-0.200,1.099,17.761,-5.798
1.001,0.098,-0.189,2.136,17.822,-5.188
1.026,0.083,-0.199,5.127,16.235,-9.216
1.022,0.055,-0.215,9.094,14.038,-16.968
0.993,0.020,-0.240,12.939,11.902,-25.269
0.938,-0.015,-0.258,16.724,9.766,-32.104
0.899,-0.019,-0.267,19.348,7.080,-34.790
0.896,-0.033,-0.290,20.508,4.333,-33.630
0.905,-0.042,-0.305,20.447,3.540,-30.212
0.912,-0.024,-0.286,18.005,4.456,-25.452
0.925,-0.010,-0.256,13.489,5.310,-20.325
0.953,-0.001,-0.226,9.460,6.775,-15.442
0.995,0.010,-0.213,6.958,7.751,-13.245
1.006,0.005,-0.217,6.775,8.240,-15.198
0.992,-0.006,-0.232,9.460,7.202,-20.447
0.975,-0.021,-0.247,14.160,4.333,-25.452
0.967,-0.029,-0.262,18.494,1.404,-28.076
0.967,-0.039,-0.278,22.095,0.061,-28.381
0.959,-0.044,-0.286,24.109,0.122,-26.489
0.952,-0.044,-0.280,23.560,0.977,-22.827
0.965,-0.032,-0.270,20.691,2.686,-17.273
0.995,-0.019,-0.255,16.174,5.005,-10.803
1.021,-0.010,-0.244,10.864,8.423,-5.188
1.040,-0.007,-0.245,6.470,12.695,-2.441
1.041,-0.014,-0.251,3.540,16.052,-2.136
1.039,-0.017,-0.256,1.709,17.517,-2.502
1.033,-0.026,-0.265,1.831,17.761,-4.333
1.024,-0.031,-0.270,3.296,16.785,-6.531
1.022,-0.029,-0.266,5.249,15.015,-9.094
1.011,-0.038,-0.264,8.118,12.817,-11.536
0.997,-0.042,-0.267,11.536,11.108,-13.245
0.978,-0.043,-0.269,14.221,9.766,-13.916
0.955,-0.050,-0.280,16.113,9.277,-13.306
0.940,-0.054,-0.291,16.174,9.583,-11.108
0.933,-0.048,-0.292,14.954,10.315,-8.118
0.937,-0.033,-0.279,12.756,10.559,-4.700

1.461,-0.612,-0.869,-39.246,-17.395,111.450
1.741,-0.713,-1.028,-42.236,5.371,139.771
1.977,-0.862,-1.380,-30.701,47.729,156.860
1.965,-1.188,-2.075,-7.507,100.403,139.587
1.534,-1.695,-3.226,15.381,147.217,77.698
0.730,-2.027,-4.000,3.235,172.974,13.489
-0.114,-2.077,-4.000,-67.688,185.120,7.690
-0.629,-2.046,-4.000,-181.274,195.190,68.909
-1.053,-1.936,-4.000,-281.189,202.637,167.908
-1.551,-1.714,-4.000,-318.481,187.683,249.023
-2.119,-1.557,-4.000,-312.866,120.605,287.170
-2.717,-1.671,-4.000,-288.452,2.930,300.110
-3.469,-1.655,-2.977,-240.417,-142.090,326.294
-4.000,-1.380,-1.112,-153.992,-272.644,401.978
-4.000,0.234,2.002,-8.850,-357.361,543.457
-4.000,3.999,4.000,223.694,-416.809,644.958
-3.995,4.000,4.000,482.239,-553.284,517.639
-1.611,4.000,4.000,612.305,-824.402,166.199
1.888,4.000,4.000,410.156,-881.348,-80.872
4.000,3.286,4.000,30.457,-626.892,-61.035
4.000,-0.452,4.000,-205.505,-415.466,9.888
4.000,-1.891,4.000,-218.323,-193.298,-84.473
3.499,-2.012,4.000,-47.241,62.866,-214.111
1.223,0.199,3.488,128.601,325.256,-129.272
0.260,2.113,1.173,156.555,476.257,35.522
-0.728,2.412,-0.126,54.626,499.268,54.016
-2.203,1.681,-1.108,-58.594,444.519,-15.381
-3.242,0.654,-2.154,-98.694,373.718,-66.711
-3.177,0.157,-2.772,-98.816,293.396,-42.297
-2.323,0.130,-2.762,-94.543,199.890,7.996
-1.497,0.142,-2.312,-85.876,94.421,19.226
-0.943,0.150,-1.650,-62.134,-12.939,-3.174
-0.452,0.100,-0.929,-35.645,-105.713,-30.029
-0.057,0.115,-0.193,-19.470,-164.001,-40.222
0.236,0.196,0.424,-11.475,-174.561,-28.992
0.483,0.322,0.874,-12.390,-145.081,-5.615
0.660,0.496,1.096,-14.343,-99.548,17.456
0.787,0.608,1.149,-4.333,-53.650,24.170
0.881,0.698,1.114,9.766,-24.780,18.616
0.961,0.838,1.143,25.208,-14.526,1.038
0.949,0.943,1.147,45.166,-12.207,-29.846
0.843,0.993,1.133,67.078,-14.221,-65.796
0.680,0.975,1.101,86.304,-17.212,-94.910
0.515,0.934,1.039,95.825,-18.799,-109.253
0.397,0.838,0.932,94.055,-14.343,-109.009
0.290,0.736,0.819,84.717,-1.587,-97.595
0.254,0.629,0.749,68.665,19.287,-79.163
0.329,0.487,0.701,56.458,42.236,-58.716
0.483,0.410,0.662,54.321,58.899,-42.847
0.606,0.468,0.713,58.777,67.749,-38.086
0.688,0.477,0.629,79.102,75.256,-48.157
0.764,0.401,0.490,108.459,78.003,-67.810
0.774,0.304,0.273,140.076,78.674,-89.905
0.749,0.213,0.072,159.485,80.383,-101.379
0.750,0.151,-0.088,164.001,88.074,-99.304
0.785,0.077,-0.205,155.945,100.525,-83.191
0.834,0.048,-0.283,142.395,114.197,-58.655
0.879,0.095,-0.355,127.686,125.183,-35.828
0.898,0.178,-0.454,115.173,132.019,-24.475
0.967,0.274,-0.416,103.271,126.099,-26.428
0.915,0.358,-0.664,88.379,127.380,-33.813
0.952,0.329,-0.786,89.355,118.835,-46.997
0.978,0.207,-0.882,91.553,92.224,-63.843
0.964,0.154,-0.862,84.839,65.430,-73.242
0.962,0.171,-0.738,70.007,39.917,-73.547
1.009,0.070,-0.659,56.396,19.104,-67.688
1.050,-0.006,-0.619,45.776,12.207,-57.983
1.083,-0.006,-0.560,36.743,16.113,-49.011
1.100,-0.000,-0.545,31.860,24.048,-43.701
1.113,0.034,-0.528,29.480,31.067,-40.588
1.123,0.081,-0.497,27.161,32.349,-39.246
1.140,0.078,-0.505,27.222,29.053,-39.978
1.138,0.068,-0.533,29.724,25.635,-42.175
1.107,0.088,-0.516,31.128,23.193,-45.105
1.055,0.102,-0.475,27.588,20.386,-46.570
1.039,0.052,-0.464,21.057,16.907,-44.434
1.046,0.048,-0.425,13.977,13.916,-39.490
1.076,0.079,-0.344,5.676,9.827,-32.471
1.105,0.098,-0.256,-2.869,6.409,-26.001
1.148,0.087,-0.235,-7.446,6.714,-21.790
1.162,0.051,-0.251,-6.470,10.071,-21.729
1.129,0.013,-0.286,-3.540,14.893,-26.367
1.068,-0.025,-0.331,0.610,18.188,-33.936
1.007,-0.075,-0.363,6.104,17.883,-40.283
0.969,-0.072,-0.355,9.888,14.526,-42.847
0.953,-0.053,-0.313,10.376,9.460,-41.321
0.958,-0.059,-0.263,8.484,6.165,-36.438
0.955,-0.058,-0.218,4.700,7.446,-28.748
0.959,-0.060,-0.198,-1.160,13.123,-19.165
0.955,-0.054,-0.197,-8.911,21.851,-8.728
0.964,-0.030,-0.211,-17.395,31.677,0.610
0.975,-0.020,-0.233,-24.902,39.795,7.202
0.984,-0.016,-0.248,-28.748,43.762,9.033
0.974,-0.018,-0.260,-27.527,43.701,4.761
0.956,-0.026,-0.261,-20.996,39.001,-2.991
0.943,-0.047,-0.261,-11.536,29.358,-12.146
0.927,-0.058,-0.249,-1.221,17.883,-20.203
0.921,-0.068,-0.243,9.216,7.141,-25.208
0.920,-0.071,-0.236,17.334,0.916,-26.550
0.915,-0.062,-0.229,21.301,-0.977,-23.743
0.925,-0.053,-0.227,21.362,-0.427,-17.578
0.952,-0.027,-0.217,17.944,2.380,-9.949
0.985,-0.010,-0.211,12.695,7.446,-3.174
1.006,-0.006,-0.222,6.775,14.343,1.160
1.012,-0.011,-0.242,1.099,21.912,3.662
1.000,-0.019,-0.254,-3.479,27.222,3.479
0.996,-0.015,-0.240,-7.141,28.564,1.770
0.996,-0.022,-0.224,-9.888,27.466,-0.732
0.983,-0.033,-0.219,-10.132,26.428,-3.052
0.968,-0.046,-0.229,-9.033,25.757,-4.944
0.953,-0.068,-0.257,-7.019,24.170,-6.287
0.926,-0.091,-0.293,-3.845,22.034,-7.263
0.897,-0.092,-0.314,-0.793,20.386,-7.690
0.885,-0.085,-0.321,1.953,18.005,-6.775
0.886,-0.079,-0.330,4.333,14.771,-4.272
0.885,-0.075,-0.346,5.310,13.489,-1.770
0.878,-0.061,-0.348,4.761,13.611,1.221
0.876,-0.036,-0.338,2.258,12.695,4.944
0.896,-0.009,-0.329,-1.221,11.230,8.606

1.493,-0.512,-1.039,-40.466,13.855,27.832
1.522,-0.611,-1.306,-40.649,32.166,37.231
1.555,-0.746,-1.718,-37.781,60.181,51.819
1.576,-0.891,-2.188,-38.025,89.783,69.824
1.489,-1.077,-2.762,-38.574,117.371,82.092
1.282,-1.375,-3.494,-31.921,146.484,73.242
0.872,-1.767,-4.000,-23.804,169.922,30.823
0.359,-2.022,-4.000,-39.307,162.292,-20.386
-0.103,-2.072,-4.000,-87.952,94.299,-33.752
-0.600,-2.022,-4.000,-128.845,4.333,-11.230
-1.226,-2.001,-4.000,-136.169,-61.523,13.550
-2.015,-2.061,-3.911,-126.160,-102.966,34.912
-2.818,-2.142,-3.588,-119.446,-141.724,68.665
-3.575,-2.080,-2.854,-125.916,-191.895,138.733
-4.000,-1.405,-1.527,-143.188,-239.014,261.169
-4.000,-0.289,0.324,-119.568,-261.353,420.044
-4.000,2.330,3.269,-56.335,-293.701,590.698
-4.000,4.000,4.000,13.550,-370.422,704.834
-4.000,4.000,4.000,97.351,-490.906,697.510
-1.279,4.000,4.000,167.114,-583.435,584.106
3.577,4.000,4.000,139.282,-534.790,437.195
